"","","","","","","","",""
"EQUIPAMENTOS","UNID.","QUANT.","FORNECEDOR","VR. UNIT.","VR. TOT.","","",""
"NVR stand alone de 32 canais com PoE","pç","1","WDC","946.9","946.9","","",""
"HD de 4TB","pç","4","GIBSON","625.5","2,502.00","","",""
"Câmera 2MP, Bullet com lente fixa de 4mm DS-2CD2020F-I hikvision ","pç","26","WDC","311.67","8,103.42","","",""
"Câmera 2MP, Bullet com lente fixa de 2,8mm DS-2CD2120F-I hikvision ","pç","5","WDC","311.67","1,558.35","","",""
"Câmera speed dome 2MP 20x de zoom DS-2DE5220I-AE Hikvision","pç","1","WDC","2,210.58","2,210.58","","",""
"Teclado USB DS-1005KI Hikvision","pç","1","WDC","730.77","730.77","","",""
"Switch 24 portas 10/100 + PoE + 2 GBICS Huawei S2750-28TP-PWR-EI-AC","pç","2","EM ESTOQUE","0","0","","",""
"Switch 8 portas 10/100/1000 PoE + 2Gbics Micronet SP6510P8","pç","1","EM ESTOQUE","0","0","","",""
"Switch 24 portas 10/100/1000 PoE + Planet GS-4210-24P4C","PÇ","1","SEGSP","3,132.00","3,132.00","","",""
"Adaptador  para fibra óptica GBIC multimodo 550m","pç","6","SEGSP","225","1,350.00","","",""
"No break 2,2KVA - 220/115V","pç","1","ATERA","1,904.53","1,904.53","","",""
"Painel de alarme 8 zonas Vista 128 com gabinete, trafo, bateria","pç","1","EM ESTOQUE","0","0","","",""
"Transmissor para porta/ janela  com ima Honeywell 5815","pç","3","SICUR","116.03","348.09","","",""
"Sensor magnético para portas de aço Honeywell 958","pç","26","SICUR","102.19","2,656.94","","",""
"Sensor infravermelho passivo microondas DT7435","pç","10","SICUR","99","990","","",""
"Repetidor de alarme sem fio Honeywell","pç","1","EM ESTOQUE","0","0","","",""
"Botão de pânico controle remoto Honeywell 5802WXT","pç","2","SICUR","175.77","351.54","","",""
"Sirene eletrônica 12V","pç","2","SICUR","23.38","46.76","","",""
"Adaptador V-PlexTM de duas zonas 4193SN Honeyweell","pç","36","SICUR","59.76","2,151.36","","",""
"Botoeira tipo ""quebre o vidro""","pç","7","SPEEDDOR","53.42","373.94","","",""
"Kit eletroíma","pç","7","SPEEDDOR","164.11","1,148.77","","",""
"Sirene de porta aberta JFL PA110","pç","7","SATIS","89.05","623.35","","",""
"Fonte auxiliar 212A JFL","pç","7","SATIS","101.81","712.67","","",""
"Bateria 12V/7AH","pç","7","SATIS","57.36","401.52","","",""
"Controladora P300","pç","1","EM ESTOQUE","990","990","","",""
"Controladora de acesso Nexcode P200","pç","7","NEXCODE","646.8","4,527.60","","",""
"Display LCD 16x2 para controladora P200","pç","7","NEXCODE","97.02","679.14","","",""
"Fonte 12V DC 40W para controladora P200","pç","7","NEXCODE","140.14","980.98","","",""
"Caixa metálica para P200","pç","7","NEXCODE","64.68","452.76","","",""
"Leitor RFID Wiegand 34 Bits 125Khz ","pç","15","NEXCODE","179.52","2,692.80","","",""
"Licença para controladora Nexcode","pç","7","NEXCODE","522.5","3,657.50","","",""
"Fonte 12V 1A","pç","2","EM ESTOQUE","0","0","","",""
"Balun de vídeo","par","3","EM ESTOQUE","0","0","","",""
"TOTAL","","","","","46,224.27","","",""
"","","","","","","","",""
"INFRAESTRUTURA / CABOS / ACESSÓRIOS","UNID.","QUANT.","FORNECEDOR","VR. UNIT.","VR. TOT.","","",""
"Eletocalha perfurada em ""U"" 50mm(A)x50mm(L)X3000mm","br","105","ELÉTRICA PJ","15.96","1,675.80","","",""
"Curva horizontal 90º para eletrocalha","pç","2","ELÉTRICA PJ","6.89","13.78","","",""
"Curva horizontal 45º para eletrocalha","pç","2","ELÉTRICA PJ","6.47","12.94","","",""
"Curva vertical 45º para eletrocalha","pç","2","ELÉTRICA PJ","6.47","12.94","","",""
"Curva externa 45º para eletrocalha","pç","2","ELÉTRICA PJ","6.47","12.94","","",""
"Curva externa 30º para eletrocalha","pç","2","ELÉTRICA PJ","9.33","18.66","","",""
"Curva de inversão para eletrocalha","pç","4","ELÉTRICA PJ","4.32","17.28","","",""
"Curva de passagem reta de subida para eletrocalha","pç","2","ELÉTRICA PJ","9.33","18.66","","",""
"Curva de passagem reta de descida para eletrocalha","pç","2","ELÉTRICA PJ","6.7","13.4","","",""
"Te vertical de descida para eletrocalha","pç","3","ELÉTRICA PJ","10.37","31.11","","",""
"Te vertical de subida para eletrocalha","pç","3","ELÉTRICA PJ","14.14","42.42","","",""
"Cotovelo reto para eletrocalha","pç","2","ELÉTRICA PJ","4.32","8.64","","",""
"Saída horizontal para saída de duto","pç","40","ELÉTRICA PJ","1.43","57.2","","",""
"Junção para eletrocalha","pç","100","ELÉTRICA PJ","1.29","129","","",""
"Suspensão vertical","pç","100","ELÉTRICA PJ","3.15","315","","",""
"Vergalhão rosca total 3/8"" x 3 metros","pç","100","ELÉTRICA PJ","9.93","993","","",""
"Balancim com porca  e parafuso","pç","100","ELÉTRICA PJ","1.28","128","","",""
"Porca sextavada 3/8""","pç","400","ELÉTRICA PJ","0.13","52","","",""
"Arruela lisa 3/8""","pç","700","ELÉTRICA PJ","0.04","28","","",""
"Parafuso lentilha com porca","pç","500","ELÉTRICA PJ","0.29","142.5","","",""
"Eletroduto galvanizada de 1""","br","145","ELÉTRICA PJ","11.23","1,628.35","","",""
"Condulete multiplo de 1""","pç","110","ELÉTRICA PJ","4.76","523.6","","",""
"Tampa cega para condulete 1""","pç","110","ELÉTRICA PJ","2.07","227.7","","",""
"Unidut cônico 1"" simples","pç","220","ELÉTRICA PJ","2.29","503.8","","",""
"Tampão de PVC 1""","pç","300","ELÉTRICA PJ","0.15","45","","",""
"Unidut reto 1""","pç","100","ELÉTRICA PJ","2.5","250","","",""
"Bucha 1"" eletroduto","pç","70","ELÉTRICA PJ","0.57","39.9","","",""
"Arruela aluminio 1""","pç","70","ELÉTRICA PJ","0.42","29.4","","",""
"Curva 90 1""","pç","50","ELÉTRICA PJ","2.66","133","","",""
"Abraçadeira D com cunha 1""","pç","200","ELÉTRICA PJ","0.39","78","","",""
"Parafuso sextavado com porca","pç","100","ELÉTRICA PJ","0.16","16","","",""
"Cabo PP 2X1,5mm2","m","400","ELÉTRICA PJ","1.5","600","","",""
"Cabo óptico 6FO MM 50/125 INT ","m","350","ABC LAN","3.8","1,330.00","","",""
"Cabo UTP cat5","m","3050","ABC LAN","0.95","2,897.50","","",""
"Rack 8Ux19""","pç","3","ABC LAN","266","798","","",""
"Régua 8 tomadas 19""","pç","4","ABC LAN","48","192","","",""
"Porca gaiola com parafuso","pç","50","ABC LAN","0.45","22.5","","",""
"Parabolt n. 1/2""","pç","36","Z PAR PARAF","2.8","100.8","","",""
"Unidut conico 3/4""","pç","10","LAMPIÃO","2.01","20.1","","",""
"Disjuntor bipolar 20A","pç","1","LAMPIÃO","43.29","43.29","","",""
"Seal tubo 3/4""","m","5","LAMPIÃO","7.02","35.1","","",""
"Curva 90x2","pç","30","CEAVIL","4.45","133.5","","",""
"Curva galvanizada 45/90 1""","pç","20","CEAVIL","4.75","95","","",""
"Luva sem rosca","pç","50","CEAVIL","2.8","140","","",""
"TOTAL","","","","","13,605.81","","",""
"PLANILHA DE MATERIAIS PARA IMPLANTAÇÃO","","","","","","","",""
"","","","","","","","",""
"ANDREANI EMBU - ÁREA CONTROLADOS GALPÃO G6","","","","","","","",""
"","","","","","","","",""
"EQUIPAMENTOS E SOFTWARES","UNID.","QUANT.","FORNECEDOR","VR. UNIT.","VR. TOT.","","",""
"Câmera 2MP, Bullet com lente fixa de 4mm Hikvision DS-2CD2020F-I ","pç","16","WDC","360","5,760.00","","",""
"NVR stand alone de 16 canais com PoE Hikvision DS-7616NI-E2/16P","pç","1","WDC","770","770","","",""
"HD 4TB SATA III Seagate 64MB 7200RPM Barracuda ST4000DM005","pç","2","GIBSON","553","1,106.00","","",""
"Switch Micronet SP6510P8","pç","1","ESTOQUE","1,200.00","1,200.00","","",""
"Mini Gbic MM LC","pç","2","ESTOQUE","225","450","","",""
"Controladora de acesso Nexcode P200","pç","8","NEXCODE","660","5,280.00","","",""
"Display LCD 16x2 para controladora P200","pç","8","NEXCODE","99","792","","",""
"Fonte 12V DC 40W para controladora P200","pç","8","NEXCODE","143","1,144.00","","",""
"Caixa metálica para P200","pç","8","NEXCODE","66","528","","",""
"Leitor RFID Wiegand 34 Bits 125Khz ","pç","16","NEXCODE","187","2,992.00","","",""
"Licença para controladora Nexcode","pç","8","NEXCODE","550","4,400.00","","",""
"Botoeira tipo ""quebre o vidro"" automatiza","pç","8","SPEEDDOR","124.65","997.2","","",""
"Kit universal automatiza FS150","pç","8","SPEEDDOR","283.01","2,264.08","","",""
"Sensor magnético de abertura","pç","8","SPEEDDOR","8","64","","",""
"Sirene de porta aberta JFL PA110","pç","8","SPEEDDOR","89.05","712.4","","",""
"Fonte auxiliar 212A JFL","pç","8","SPEEDDOR","101.8","814.4","","",""
"Bateria 12V/7AH","pç","8","SPEEDDOR","53.77","430.16","","",""
"Rele 12VDC","pç","8","ESTOQUE","3","24","","",""
"TOTAL","","","","","29,728.24","","",""
"","","","","","","","",""
"INFRAESTRUTURA / CABOS / ACESSÓRIOS","UNID.","QUANT.","FORNECEDOR","VR. UNIT.","VR. TOT.","","",""
"Eletroduto galvanizado de 1""","br","90","ELÉTRICA PJ","11.23","1,010.70","","",""
"Condulete multiplo de 1""","pç","60","ELÉTRICA PJ","4.88","292.8","","",""
"Tampa cega para condulete 1""","pç","80","ELÉTRICA PJ","1.55","124","","",""
"Tampão de PVC 1""","pç","100","ELÉTRICA PJ","0.15","15","","",""
"Unidut cônico 1"" simples","pç","100","ESTOQUE","2.29","229","","",""
"Unidut reto 1""","pç","90","ELÉTRICA PJ","2.7","243","","",""
"Curva 90 1""","pç","20","ELÉTRICA PJ","2.7","54","","",""
"Abraçadeira D com cunha 1""","pç","50","ELÉTRICA PJ","0.42","21","","",""
"Cabo PP 2X1,5mm2","m","350","ELÉTRICA PJ","1.44","504","","",""
"Cabo UTP cat5","m","1525","ELÉTRICA PJ","0.95","1,448.75","","",""
"Cabo óptico 6FO MM 50/125 INT ","m","150","ABC LAN","2.72","408","","",""
"Rack 12Ux19""X570mm","pç","1","ABC LAN","298","298","","",""
"Kit ventilação c/ 2 ventiladores","pç","1","ABC LAN","135","135","","",""
"Régua 8 tomadas 19""","pç","1","ABC LAN","48","48","","",""
"Conector RJ45","pç","50","LAMPIÃI","0.65","32.5","","",""
"Pino tomada macho","pç","3","ESTOQUE","4","12","","",""
"TOTAL","","","","","4,875.75","","",""
"PLANILHA DE MATERIAIS E EQUIPAMENTOS PARA IMPLANTAÇÃO","","","","","","","",""
"","","","","","","","",""
"ANDREANI EMBU - PORTA SALA RETEM NOVARTIS","","","","","","","",""
"","","","","","","","",""
"EQUIPAMENTOS","MODELO","MARCA","UNID.","QUANT.","FORNECEDOR","VR. UNIT.","VR. TOT.","STATUS"
"Kit controladora de acesso","IPLOCK P200","Nexcode","pç","1","NEXCODE","968","968","aprovado"
"Leitor de cartão Wiegand 34 Bits 125Khz ","RFID","Nexcode","pç","2","NEXCODE","187","374","aprovado"
"Licença para controladora Nexcode","CONTROL PLUS","Nexcode","pç","1","NEXCODE","550","550","já entregue"
"Kit universal eletroíma 150Kg para porta de vidro","FE20150","Automatiza","pç","1","2M2N","175.34","175.34","já entregue"
"Fonte de alimentação auxiliar ","FA1220S","Automatiza","pç","1","2M2N","137.14","137.14","já entregue"
"Bateria 12V/7AH","XB","Intelbras","pç","1","2M2N","107.54","107.54","já entregue"
"Sensor magnético de sobrepor"," ","Stylus","pç","1","ESTOQUE","21.36","21.36","já entregue"
"Sirene de porta aberta ","PA-110","JFL","pç","1","","89.05","89.05","já entregue"
"Botoeira ""quebra o vidro""","","Engesul","pç","1","ESTOQUE","124.65","124.65","já entregue"
"TOTAL","","","","","","","2,547.08",""
